Marque,Modele,Annee,Prix,Kilometrage,Boite_vitesse,Region
Nissan,Murano,2008,3200000.0,115305.0,Automatique,Dakar
Ford,Escort,2007,2700000.0,174000.0,Manuelle,Dakar
Nissan,Qashqai,2014,7800000.0,63000.0,Automatique,Dakar
Mazda,6,2010,4000000.0,182000.0,Automatique,Dakar
Peugeot,307,2007,2400000.0,160000.0,Manuelle,Dakar
Citroen,C3,2008,2300000.0,128000.0,Manuelle,Dakar
Volkswagen,Golf,2003,2500000.0,160000.0,Manuelle,Dakar
Hyundai,Tucson,2008,3400000.0,140000.0,Manuelle,Dakar
Nissan,Murano,2011,2300000.0,188000.0,Automatique,Dakar
Citroen,Berlingo,2008,3300000.0,214000.0,Manuelle,Dakar
C3,,,1800000.0,220000.0,Manuelle,Dakar
Ford,Edge,2011,9800000.0,80000.0,Automatique,Dakar
Land Rover,Range Rover Sport,2008,6000000.0,130000.0,Automatique,Dakar
Toyota,Auris,2005,3500000.0,179315.0,Manuelle,Dakar
Mitsubishi,L200,2006,7500000.0,160000.0,Manuelle,Dakar
Mercedes‒Benz,190,2004,2200000.0,140000.0,Manuelle,Dakar
Peugeot,308,2012,3800000.0,103000.0,Manuelle,Dakar
Renault,Scenic,2009,1300000.0,160000.0,Manuelle,Dakar
Nissan,Altima,2014,2500000.0,110000.0,Automatique,Dakar
Peugeot,605,2004,2200000.0,160000.0,Manuelle,Dakar
Renault,Scenic,2005,2200000.0,140000.0,Manuelle,Dakar
Renault,Megane,2005,2000000.0,160000.0,Manuelle,Dakar
Honda,Elysion,2011,3500000.0,160000.0,Automatique,Dakar
Dacia,Logan,2010,2000000.0,161000.0,Manuelle,Dakar
Honda,Civic,2007,2300000.0,180000.0,Automatique,Dakar
Skoda,Fabia,2007,1800000.0,220000.0,Manuelle,Dakar
Toyota,Aygo,2009,2700000.0,150000.0,Manuelle,Dakar
Chevrolet,Camaro,2012,4000000.0,220000.0,Manuelle,Dakar
Peugeot,309,2000,2800000.0,130000.0,Manuelle,Dakar
Peugeot,307,2008,2600000.0,250000.0,Manuelle,Dakar
Kia,Sorento,2009,3800000.0,140000.0,Manuelle,Dakar
Renault,19,1989,2300000.0,180000.0,Manuelle,Dakar
Rover,600,2002,1800000.0,128000.0,Manuelle,Dakar
Toyota,Camry,2011,3800000.0,0.0,Automatique,Dakar
Skoda,Octavia,2012,4000000.0,70000.0,Manuelle,Dakar
Peugeot,307,2008,1900000.0,160000.0,Manuelle,Dakar
Hyundai,Sonata,2011,3500000.0,66000.0,Automatique,Dakar
Opel,Astra,2003,2500000.0,160000.0,Manuelle,Dakar
Hyundai,Tucson,2006,3000000.0,164231.0,Manuelle,Dakar
Volkswagen,Passat,2006,2500000.0,164686.0,Manuelle,Dakar
